fric,rollfric,rest,aor,aor_std,aor_n_ok,drum_aor,drum_aor_std,drum_frame_std,drum_n_ok,drum_trial
0.2477,0.2249,0.4945,27.13958117707658,0.365336570707365,2,31.505411458832885,0.03171031456065876,1.4496579661826092,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-03d04a1978/seed49979687
0.2652,0.233,0.7,28.190938442747843,0.0010163800998927996,2,31.881318533548306,0.07863304403093707,2.7656287693166197,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-493e339da3/seed49979687
0.2955,0.1622,0.4414,26.12047178031489,0.32651264760282217,2,30.970591423728138,0.02896563390766005,1.737689571264383,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-02c5da0191/seed49979687
0.3315,0.1708,0.7,26.57806710138886,0.08531665408368205,2,31.761829269400845,0.18804918203619891,1.1243601487097339,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-8c5e65d472/seed49979687
0.3545,0.1754,0.607,27.533183775396736,0.02410195550319294,2,32.09492712280576,0.29655430503953184,1.0879496798107744,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-c37ef2a91d/seed49979687
0.4001,0.1374,0.5762,26.48077638169226,0.7200722578409025,2,31.228168520605795,0.20263519008130615,1.302401472970684,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-2aeaf59267/seed49979687
0.4499,0.1425,0.3053,27.98202382195666,0.5255272658950592,2,32.00001946466795,0.28670895551822717,1.493801453881033,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-ba8c42db13/seed49979687
0.5874,0.1203,0.4523,26.721746559237644,0.6956148261322639,2,31.74613642234739,0.1608522718139067,1.3337626325353393,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-c9690243e2/seed49979687
0.6,0.1203,0.7,26.94605126120166,0.41381344018436295,2,31.58545842186548,0.05174813229501041,1.624341224153882,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-c65798fc30/seed49979687
