fric,rollfric,rest,aor,aor_std,aor_n_ok,drum_aor,drum_aor_std,drum_frame_std,drum_n_ok,drum_trial
0.2477,0.2249,0.4945,27.13958117707658,0.365336570707365,2,38.171408400271574,0.24034276286613476,1.2228157114085836,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-f9a95041c1/seed49979687
0.2652,0.233,0.7,28.190938442747843,0.0010163800998927996,2,38.354748183105485,0.0842034689068285,1.3105171783975529,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-5f631d622d/seed49979687
0.2955,0.1622,0.4414,26.12047178031489,0.32651264760282217,2,38.01694516593078,0.17359815033830017,1.0826363039503621,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-0b44b23e3e/seed49979687
0.3315,0.1708,0.7,26.57806710138886,0.08531665408368205,2,38.007480229465386,0.14964018445953187,1.1207880345122918,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-7bf1d4dbbe/seed49979687
0.3545,0.1754,0.607,27.533183775396736,0.02410195550319294,2,38.775251054418646,0.09851219967341152,0.9003038040121044,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-8ff9e64f96/seed49979687
0.4001,0.1374,0.5762,26.48077638169226,0.7200722578409025,2,37.90206758015061,0.1165634576054444,0.9573949358936099,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-79bbcc5aee/seed49979687
0.4499,0.1425,0.3053,27.98202382195666,0.5255272658950592,2,38.82039115032203,0.08742432162779323,0.8612323442338593,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-3b4dcecfad/seed49979687
0.5874,0.1203,0.4523,26.721746559237644,0.6956148261322639,2,38.37769449628014,0.032438187949679786,1.0637985553463487,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-cbbd63bb25/seed49979687
0.6,0.1203,0.7,26.94605126120166,0.41381344018436295,2,38.42156644879956,0.08720689336658438,1.1157796424828073,2,/Users/joshuamayo/Dev/09 DEM-calibration/results/cache/drum-755baef62e/seed49979687
